question_type,question,option_a,option_b,option_c,option_d,option_e,correct_answer
TWK,"Pancasila sebagai dasar negara Indonesia disahkan pada tanggal...","17 Agustus 1945","18 Agustus 1945","1 Juni 1945","22 Juni 1945","1 Oktober 1945",C
TIU,"Jika 2x + 3y = 20 dan x - y = 4, maka nilai x adalah...","7","8","9","10","11",B
TKP,"Anda melihat rekan kerja melakukan tindakan korupsi. Apa yang akan Anda lakukan?","Melaporkan langsung ke atasan","Mendiskusikan dengan rekan lain","Menegur rekan tersebut langsung","Mengabaikannya","Mengumpulkan bukti dahulu",E
TWK,"Siapakah proklamator kemerdekaan Indonesia?","Soekarno dan Hatta","Soeharto dan Habibie","Soekarno dan Soeharto","Hatta dan Habibie","Soekarno dan Sjahrir",A
TIU,"Berapa hasil dari 15% dari 80?","10","12","14","16","18",B
TWK,"UUD 1945 telah mengalami berapa kali amandemen?","1 kali","2 kali","3 kali","4 kali","5 kali",D
TIU,"Pola bilangan: 2, 6, 12, 20, 30, ... Bilangan selanjutnya adalah...","40","41","42","43","44",B
TKP,"Jika Anda diberi tugas mendadak saat akan pulang kantor, apa yang Anda lakukan?","Menolak dengan sopan","Menerima tapi dikerjakan besok","Menerima dan lembur","Meminta rekan lain menggantikan","Pura-pura tidak mendengar",C
TWK,"Apa kepanjangan dari BPUPKI?","Badan Penyelidik Usaha Persiapan Kemerdekaan Indonesia","Badan Pengurus Urusan Persiapan Kemerdekaan Indonesia","Badan Pelaksana Upaya Persiapan Kemerdekaan Indonesia","Badan Pembantu Usaha Persiapan Kemerdekaan Indonesia","Badan Pengelola Urusan Persiapan Kemerdekaan Indonesia",A
TIU,"Jika sebuah mobil melaju dengan kecepatan 60 km/jam, berapa jam waktu yang dibutuhkan untuk menempuh jarak 270 km?","3 jam","3,5 jam","4 jam","4,5 jam","5 jam",C
TKP,"Anda menemukan dompet berisi uang dan identitas pemilik di jalan. Apa yang Anda lakukan?","Mengambil uangnya saja","Mengembalikan ke polisi","Mencoba menghubungi pemiliknya","Mengabaikannya","Memasang pengumuman di media sosial",C
TWK,"Siapakah pencipta lagu Indonesia Raya?","Kusbini","W.R. Supratman","Ismail Marzuki","C. Simanjuntak","Ibu Sud",B
TIU,"Jika A + B = C, A + C = 10, dan B + C = 13, maka nilai A adalah...","3","4","5","6","7",C
TKP,"Atasan Anda memberi tugas yang menurut Anda tidak sesuai dengan job desc. Apa yang Anda lakukan?","Menolak tugas tersebut","Menerima tapi tidak mengerjakannya","Menerima dan mendiskusikannya","Menerima tapi mengeluh ke rekan","Menyuruh bawahan mengerjakan",C
TWK,"Pada masa Orde Baru, pemilu pertama kali diadakan pada tahun...","1965","1970","1971","1975","1980",C
